Index,min,max,avg,std
Internal Density,0.09444444444444444,0.25,0.15647321428571426,0.0524261147805515
Edges inside,5.0,17.0,11.875,4.567206476611277
Average Degree,2.5,3.75,3.2987103174603174,0.3707483293871817
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,1.3,6.666666666666667,3.689583333333333,1.7013870464842633
Cut Ratio,0.0013333333333333333,0.006830601092896175,0.0037718656010230535,0.0017393424735979918
Conductance,0.2765957446808511,0.696969696969697,0.5002086602051128,0.13186155395421018
Normalized Cut,0.2951406804868425,0.7321739130434782,0.5346524872820633,0.1442101787237543
Maximum-ODF,4.0,34.0,14.625,9.136978439287246
Average-ODF,1.3,6.666666666666667,3.689583333333333,1.7013870464842633
Flake-ODF,0.0,0.5,0.24975198412698413,0.20116747715159167
