Index,min,max,avg,std
Internal Density,0.00513919322479,0.25,0.118379731075,0.100805305943
Edges inside,1.0,55585.0,18530.0,26201.8418055
Average Degree,1.0,47.7944969905,16.7981656635,21.9190847863
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,0.932932072227,0.310977357409,0.439788396439
Expansion,0.0,0.8,0.267239896819,0.376718935893
Cut Ratio,0.0,0.000343642611684,0.000196437558929,0.000144546280684
Conductance,0.0,0.333333333333,0.111123104323,0.157126360469
Normalized Cut,0.0,0.333369309733,0.171741157062,0.136285188267
Maximum-ODF,0.0,3.0,1.66666666667,1.24721912892
Average-ODF,0.0,0.8,0.267239896819,0.376718935893
Flake-ODF,0.0,0.0,0.0,0.0
