Index,min,max,avg,std
Internal Density,0.06190476190476191,0.25,0.2067857142857143,0.0681926750443566
Edges inside,3.0,52.0,9.8,14.572576985557497
Average Degree,2.0,4.9523809523809526,2.5595238095238093,0.9561384210835318
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,0.75,15.333333333333334,5.308333333333334,4.500146287619696
Cut Ratio,0.0007614213197969543,0.015488215488215488,0.0053693820462097685,0.004541811018924206
Conductance,0.17647058823529413,0.8846153846153846,0.5851613362910468,0.22106764159326903
Normalized Cut,0.18460066953610713,0.9421153846153846,0.6154864744947719,0.22805324575976912
Maximum-ODF,2.0,44.0,18.1,14.166509803053115
Average-ODF,0.75,15.333333333333334,5.308333333333334,4.500146287619696
Flake-ODF,0.0,0.6666666666666666,0.2571428571428572,0.19189944456771318
