Index,min,max,avg,std
Internal Density,0.0034809245335561123,0.25,0.20422066373609896,0.07111950749833351
Edges inside,1.0,250.0,7.480769230769231,34.2897665742416
Average Degree,1.0,2.6315789473684212,1.2567488061870653,0.4199630375013157
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,1.0,0.05967919984873426,0.18643165141908902
Expansion,0.0,2.0,0.556049563628005,0.5409587795216104
Cut Ratio,0.0,0.0020222446916076846,0.0005643652045375998,0.0005467915085463597
Conductance,0.0,0.6666666666666666,0.2512294255454349,0.2178901733884706
Normalized Cut,0.0,0.6709493219129193,0.25539653327630796,0.21812102804617856
Maximum-ODF,0.0,11.0,1.5,1.9463970659815377
Average-ODF,0.0,2.0,0.556049563628005,0.5409587795216104
Flake-ODF,0.0,1.0,0.11125506072874493,0.21865503346072715
