Index,min,max,avg,std
Internal Density,0.014580369843527738,0.25,0.1410231301605736,0.10340173740363041
Edges inside,1.0,102.0,15.923076923076923,22.121905393181034
Average Degree,1.0,4.0,1.762371582269177,0.8011650585909335
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,1.0,0.19625850255166755,0.2768383081453828
Expansion,0.0,0.9166666666666666,0.19337115611228498,0.24301351104245658
Cut Ratio,0.0,0.0009588563458856346,0.00020034263605994,0.0002526383072831203
Conductance,0.0,0.30275229357798167,0.0700762476469498,0.08696648781961325
Normalized Cut,0.0,0.3386608898783081,0.07587560177950295,0.09413408603156088
Maximum-ODF,0.0,21.0,2.230769230769231,4.457557905984745
Average-ODF,0.0,0.9166666666666666,0.19337115611228498,0.24301351104245658
Flake-ODF,0.0,0.027777777777777776,0.0010683760683760683,0.005341880341880342
