,degree,id,C,cc,in_degree,out_degree
73,19065,807095,0.00263301255649,0.417000759865,19064,9
204,14637,1652541,0.00360137389133,0.510698560387,14629,47
277,13144,2467791,0.0042328871852,0.440487990088,13129,56
1,12217,87818409,0.00428317943386,0.434341319773,12200,54
141,10752,816653,0.00287146253837,0.459824223098,10744,29
22,10223,14293310,0.00422606782467,0.384826848517,10211,21
247,9736,14511951,0.00568964156558,0.432581795394,9677,151
301,8915,91478624,0.00364117470222,0.407271330225,8892,70
146,8514,14075928,0.00329336433899,0.442905125947,8514,0
224,7594,612473,0.00459643238347,0.471411226588,7594,7
283,7262,34713362,0.00570899920655,0.408233978478,7250,53
206,7029,28785486,0.00613803955367,0.402649196828,7026,16
188,6005,15012486,0.0077823221932,0.409685231786,6005,9
75,5991,49698134,0.0144020148197,0.422554094151,5921,174
197,5674,18949452,0.0082454652737,0.409403374127,5652,51
214,5491,14763734,0.00431525805267,0.39833915875,5215,4102
9,5461,788524,0.00930199020292,0.429527528801,5438,54
25,5323,2890961,0.00420148874973,0.408297637719,5321,6
93,5318,4898091,0.00863034638164,0.466300113117,5294,54
236,5304,15164565,0.0100280469605,0.428450750948,5294,29
55,5222,64643056,0.00688818856119,0.416833467776,5193,50
182,5048,16973333,0.00789716129555,0.378695515696,5033,38
290,4868,20562637,0.00495759089901,0.50079778804,4868,9
298,4818,14372486,0.00484438631583,0.430952764327,4805,24
65,4763,16664681,0.0127526485792,0.428220914943,4703,158
237,4669,14247236,0.0256048986157,0.455061192805,4185,1725
76,4667,16012783,0.0134094885697,0.387894006501,4646,47
4,4512,2884771,0.0107109139047,0.407443713768,4507,17
123,4325,7905122,0.00577264682134,0.446619069342,4279,151
296,4310,2735591,0.00880841319011,0.451710536595,4265,110
194,4261,2347049341,0.00858534607473,0.436985729024,4259,9
84,4260,24733117,0.0257913923236,0.434416265349,4097,4130
195,4161,14885549,0.00787209065868,0.40969292425,4105,153
90,4150,76966092,0.00581983755702,0.461461242715,4009,2463
315,3934,10876852,0.00534215005253,0.398914488175,3930,9
28,3907,19407053,0.0046913839445,0.452882495687,3896,24
102,3871,16935292,0.0139879325295,0.406136742997,3790,137
287,3807,30261067,0.00674132240565,0.413633175436,3791,29
273,3692,16896485,0.00625221432591,0.404208156495,3665,43
99,3579,57700707,0.00621350149645,0.467726168482,2273,3460
259,3558,1630896181,0.0087798438124,0.34592644393,3554,18
241,3484,17525171,0.0202212287137,0.393954376157,2437,1536
285,3471,24357823,0.0289589243771,0.414119907375,1547,3378
221,3454,20402945,0.00718407212345,0.390004035266,3453,14
174,3435,717313,0.00704759918581,0.422644128147,3418,27
202,3428,19084896,0.0189944360438,0.443881230362,3391,129
18,3385,61608747,0.0168817722465,0.389312810186,2532,3111
108,3260,179732982,0.0277457234991,0.445819074687,2623,2766
154,3219,487118986,0.00577212947286,0.439111003415,3212,13
114,3218,15110357,0.00786510754222,0.445388328689,3209,22
66,3192,25053299,0.00885655850689,0.427845859532,3180,22
176,3156,35203319,0.025062919421,0.418975877716,2045,2934
264,3048,139823781,0.0126612209247,0.376255380312,3048,2
258,3019,60783724,0.0143458559672,0.424979239218,2978,72
35,3006,14297863,0.0198334335212,0.440073396433,2128,2839
157,2989,1020058453,0.019904307763,0.465090819999,2860,175
69,2974,19811190,0.0190187364378,0.423634298578,2948,133
115,2956,25203361,0.0329903445686,0.435972887708,2796,804
6,2922,14157134,0.0178337564067,0.374889192753,2911,51
162,2892,1115874631,0.00422066287659,0.402877190489,2889,9
178,2889,731132367058968576,0.0311370668569,0.35835150291,2844,83
70,2878,14437914,0.0203654441796,0.394950326896,2705,638
31,2789,373564351,0.0257295390325,0.40902731469,2741,251
94,2749,20675681,0.0259472413682,0.414216867025,2244,2238
309,2740,2244340904,0.00935367215378,0.411845282021,2732,30
49,2719,16529873,0.0238308840225,0.469298881418,2035,2509
222,2692,60642052,0.00805226601467,0.444125175756,2674,37
136,2691,1216789842,0.0508098729208,0.455618660108,2567,812
308,2691,18856867,0.0123738912166,0.388882614951,2659,54
128,2653,624413,0.00686692375347,0.437303938104,2650,4
145,2635,14993272,0.0273898904848,0.451744827704,2598,2575
121,2608,19569136,0.0157657180644,0.410237257487,2141,2391
217,2598,573918122,0.00684748168299,0.430652227523,2597,5
57,2571,134758540,0.01340240667,0.549704627005,2540,48
316,2549,755057897583804416,0.0456552358699,0.410244970695,2418,902
245,2492,24744541,0.0103931134427,0.465428127495,2484,19
164,2481,621583,0.00618539610719,0.461607681528,2480,4
47,2475,17446621,0.014170157517,0.383258646551,2444,48
294,2459,732515283902943232,0.0651015134785,0.429361301886,2101,2434
122,2449,93111391,0.0503033117426,0.385284393271,2087,2388
199,2438,19346439,0.0157178284063,0.420221204711,2254,607
312,2386,5763262,0.0220155659938,0.404228125527,2361,69
68,2312,37034483,0.00879725219688,0.380476260464,2312,2
293,2294,209176493,0.0259468280514,0.389449468875,2255,256
131,2241,112243365,0.00503522024606,0.459814532932,2241,3
81,2232,16801580,0.0484609984111,0.366626772855,1814,2146
246,2207,6107422,0.0162431330954,0.416655701186,2193,27
192,2203,12480582,0.0114491715739,0.37941548584,2177,91
30,2177,73147282,0.0161426105812,0.389410082804,2142,47
142,2177,16041234,0.0313378164771,0.420691126944,2122,122
159,2170,580312540,0.052334423262,0.457334432188,2155,1197
193,2167,17243913,0.0439744833631,0.417000759865,1709,1980
45,2162,41140413,0.00960770808389,0.428863392205,381,2080
80,2141,449600949,0.0668051875488,0.471730569458,2047,2028
278,2119,21866939,0.0181789742609,0.43087050032,2082,58
0,2100,824797212425191425,0.024802740534,0.447743284899,2084,64
165,2075,8841372,0.0104299938423,0.394115668582,2074,2
317,2073,44171091,0.0225015691731,0.405978052538,1716,1826
177,2061,102955736,0.0377882355158,0.383126297338,2018,1857
105,2016,802649176299466752,0.0738001693647,0.413554777417,1765,1954
291,2008,2288632549,0.0330337841459,0.415861587247,1703,1959
103,1996,817386,0.0156940447311,0.40137521709,1980,50
77,1968,592730371,0.0257542128039,0.454524023741,1966,30
262,1942,7309052,0.0245846710716,0.425479227793,1884,86
152,1941,225235528,0.00919708727035,0.398831849378,1921,51
83,1941,275276082,0.03507172942,0.424461156691,1763,814
